place,title,time,pay,date
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",02/01
전남 광양시,홍익아트,10:00~23:00,"월급1,800,000",02/01
전남 순천시,홍익아트,10:00~23:00,"월급1,800,000",02/01
광주 광산구,홍익아트,10:00~23:00,"월급1,800,000",02/01
광주 남구,홍익아트,10:00~23:00,"월급1,800,000",02/01
광주 서구,홍익아트,10:00~23:00,"월급1,800,000",02/01
전북 익산시,홍익아트,10:00~23:00,"월급1,800,000",02/01
대구 달성군,홍익아트,10:00~23:00,"월급1,800,000",02/01
대구 동구,홍익아트,10:00~23:00,"월급1,800,000",02/01
경북 경산시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경북 구미시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경북 포항시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경남 김해시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경남 진주시,홍익아트,10:00~23:00,"월급1,800,000",02/01
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 기장군,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 남구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 수영구,홍익아트,10:00~23:00,"월급1,800,000",02/01
울산 남구,홍익아트,10:00~23:00,"월급1,800,000",02/01
울산 동구,홍익아트,10:00~23:00,"월급1,800,000",02/01
울산 중구,홍익아트,10:00~23:00,"월급1,800,000",02/01
대구 북구,홍익아트,10:00~23:00,"월급1,800,000",02/01
대구 수성구,홍익아트,10:00~23:00,"월급1,800,000",02/01
충남 천안시,홍익아트,00:00~24:00,"월급1,800,000",02/01
부산 해운대,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 동래구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 사상구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 북구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 강서구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 사하구,홍익아트,10:00~23:00,"월급1,800,000",02/01
부산 연제구,홍익아트,10:00~23:00,"월급1,800,000",02/01
인천 연수구,홍익아트,10:00~23:00,"월급1,800,000",02/01
강원 춘천시,홍익아트,10:00~23:00,"월급1,800,000",02/01
대전 대덕구,홍익아트,10:00~23:00,"월급1,800,000",02/01
대전 서구,홍익아트,10:00~23:00,"월급1,800,000",02/01
대전 중구,홍익아트,10:00~23:00,"월급1,800,000",02/01
충남 계룡시,홍익아트,10:00~23:00,"월급1,800,000",02/01
세종 전체,홍익아트,10:00~23:00,"월급1,800,000",02/01
충북 청주시,홍익아트,10:00~23:00,"월급1,800,000",02/01
